
> hommie-0-commission@1.0.0 lint /Users/macbookpro/Documents/hommie-0-commission-next
> eslint app components hooks lib types --format=compact

/Users/macbookpro/Documents/hommie-0-commission-next/app/(catalog)/property/[slug]/page.tsx: line 64, col 23, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/app/(marketing)/mi-bio/page.tsx: line 9, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/app/admin/flags/FlagsAdminClient.tsx: line 40, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/admin/flags/FlagsAdminClient.tsx: line 46, col 9, Warning - 'handleFlagChange' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/admin/flags/page.tsx: line 5, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/admin/completeness/route.ts: line 28, col 48, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/admin/completeness/route.ts: line 83, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/admin/completeness/route.ts: line 91, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/admin/completeness/route.ts: line 107, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/admin/completeness/route.ts: line 117, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/admin/completeness/route.ts: line 127, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/paginated/route.ts: line 110, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/paginated/route.ts: line 124, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/paginated/route.ts: line 131, col 26, Warning - 'cursor' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/paginated/route.ts: line 132, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/paginated/route.ts: line 189, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/paginated/route.ts: line 192, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/route.ts: line 94, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/route.ts: line 109, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/route.ts: line 117, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/route.ts: line 120, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/route.ts: line 155, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/buildings/route.ts: line 158, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/debug-admin/route.ts: line 18, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/debug-admin/route.ts: line 44, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/debug/route.ts: line 18, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/debug/route.ts: line 67, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/flags/override/route.ts: line 75, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/flags/override/route.ts: line 96, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/test/route.ts: line 18, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/test/route.ts: line 22, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/test/route.ts: line 30, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/waitlist/route.ts: line 2, col 10, Warning - 'z' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/waitlist/route.ts: line 32, col 12, Warning - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/waitlist/route.ts: line 47, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/waitlist/route.ts: line 68, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/waitlist/route.ts: line 87, col 9, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/waitlist/route.ts: line 97, col 13, Warning - 'data' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/waitlist/route.ts: line 107, col 7, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/waitlist/route.ts: line 123, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/api/waitlist/route.ts: line 130, col 5, Warning - Unexpected console statement. (no-console)
/Users/macbookpro/Documents/hommie-0-commission-next/app/coming-soon/layout.tsx: line 3, col 10, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/app/coming-soon/page.tsx: line 5, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/app/demo/page.tsx: line 3, col 10, Warning - 'PromotionType' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/layout.tsx: line 6, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/macbookpro/Documents/hommie-0-commission-next/app/propiedad/[id]/page.tsx: line 3, col 18, Warning - 'Phone' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/propiedad/[id]/page.tsx: line 6, col 10, Warning - 'PrimaryButton' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/app/propiedad/[id]/page.tsx: line 39, col 60, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
