Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Tremenda promo;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Normal;50500;Av. Buzeta 4460;Cerrillos;Ciudad Buzeta;0;30;1D1B;;44;315000;65000;12;0;0.00;0;1;0;Si;3;3.00;1;61411;NO;32.00;5.00;Inspector;2098;OK;LF: REAJUSTE ANUAL;2025-07-31;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/cerrillos/1-dormitorio/ciudad-buzeta/2571?selectedUnit=476196&codigo_referido=elkisd;1615;Lista para arrendar
;70568;Martín de Solier 4540;Cerrillos;Edificio Martín de Solier;0;30;1D1B;;;340000.00;0.00;12;0;50.00;1;1;0;Si;3;3.00;1;114290;S;30.00;2.00;Edificio Retail;1199;OK;JB ACTIVOMAS;;;Si;https://www.assetplan.cl/arriendo/departamento/cerrillos/1-dormitorio/edificio-martin-de-solier/3466?selectedUnit=513573&codigo_referido=elkisd;1423;Lista para arrendar
;70628;Martín de Solier 4540;Cerrillos;Edificio Martín de Solier;0;30;1D1B;;;300000.00;0.00;12;0;50.00;2;1;0;No;3;3.00;1;114051;N;30.61;2.12;Edificio Retail;1270;OK;JB ACTIVOMAS;;;Si;https://www.assetplan.cl/arriendo/departamento/cerrillos/1-dormitorio/edificio-martin-de-solier/3466?selectedUnit=513701&codigo_referido=elkisd;1315;Lista para arrendar
;70630;Martín de Solier 4540;Cerrillos;Edificio Martín de Solier;0;30;1D1B;;;300000.00;0.00;12;0;50.00;2;1;0;No;3;3.00;1;114053;S;30.61;2.12;Edificio Retail;1957;OK;JB ACTIVOMAS;;;Si;https://www.assetplan.cl/arriendo/departamento/cerrillos/1-dormitorio/edificio-martin-de-solier/3466?selectedUnit=513703&codigo_referido=elkisd;1512;Lista para arrendar
;70698;Martín de Solier 4540;Cerrillos;Edificio Martín de Solier;0;30;1D1B;;;350000.00;0.00;6;0;30.00;1;1;0;Si;3;3.00;1;117301;P;31.00;2.00;Edificio Retail;2676;OK;JB ACTIVOMAS;;;Si;https://www.assetplan.cl/arriendo/departamento/cerrillos/1-dormitorio/edificio-martin-de-solier/3466?selectedUnit=513790&codigo_referido=elkisd;1510;Lista para arrendar
;70735;Martín de Solier 4540;Cerrillos;Edificio Martín de Solier;0;30;1D1B;;;1.00;0.00;12;0;50.00;1;1;0;Si;3;3.00;1;115117;P;31.00;2.00;Edificio Retail;2190;OK;JB ACTIVOMAS;;;Si;https://www.assetplan.cl/arriendo/departamento/cerrillos/1-dormitorio/edificio-martin-de-solier/3466?selectedUnit=513840&codigo_referido=elkisd;1910;Lista para arrendar
;70736;Martín de Solier 4540;Cerrillos;Edificio Martín de Solier;0;30;1D1B;;;320000.00;0.00;12;0;50.00;1;1;0;Si;3;3.00;1;115116;S;30.00;2.00;Ofic. Santa Lucía;1704;OK;JB ACTIVOMAS;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/1-dormitorio/edificio-martin-de-solier/3466?selectedUnit=513841&codigo_referido=elkisd;1623;Lista para arrendar
;70985;Martín de Solier 4540;Cerrillos;Edificio Martín de Solier;0;30;1D1B;;;1.00;0.00;6;0;50.00;1;1;0;Si;3;3.00;1;115066;O;32.36;2.40;Ofic. Santa Lucía;0;OK;JB ACTIVOMAS;;;Si;https://www.assetplan.cl/arriendo/departamento/cerrillos/1-dormitorio/edificio-martin-de-solier/3466?selectedUnit=514134&codigo_referido=elkisd;904;Lista para arrendar
;71043;Martín de Solier 4540;Cerrillos;Edificio Martín de Solier;0;30;1D1B;;116;320000;0;12;0;0.00;0;1;0;Si;3;3.00;1;114242;;;;Edificio Retail;1609;OK;JB ACTIVOMAS;;;Si;https://www.assetplan.cl/arriendo/departamento/cerrillos/1-dormitorio/edificio-martin-de-solier/3466?selectedUnit=514192&codigo_referido=elkisd;1111;Lista para arrendar
;71061;Martín de Solier 4540;Cerrillos;Edificio Martín de Solier;0;30;1D1B;;;320000.00;0.00;12;0;50.00;1;1;0;Si;3;3.00;1;117244;O;32.36;2.40;Ofic. Santa Lucía;0;OK;JB ACTIVOMAS;;;No;https://www.assetplan.cl/arriendo/departamento/cerrillos/1-dormitorio/edificio-martin-de-solier/3466?selectedUnit=514210&codigo_referido=elkisd; 704;Lista para arrendar
