Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Tremenda promo;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Normal;AMGD104;Gral Amengual 102;Estación Central;Amengual;1;30;2D1B (3C);;;350000.00;91000.00;12;0;50.00;1;1;0;No;3;3.00;0;10551;P;40.34;3.20;;0;OK;MG: Requiere presentar renta tanto titular como aval renta;1995-02-01;;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/2-dormitorios/amengual/745?codigo_referido=elkisd;104;Re-acondicionamiento
Arriendo Normal;AMGD105;Gral Amengual 102;Estación Central;Amengual;1;30;1D1B;;;294000.00;71000.00;12;0;50.00;1;1;0;No;3;3.00;0;10552;P;31.92;2.37;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/1-dormitorio/amengual/745?codigo_referido=elkisd;105;Re-acondicionamiento
Arriendo Normal;AMGD201;Gral Amengual 102;Estación Central;Amengual;1;30;2D2B (4C);;;412000.00;104000.00;12;0;50.00;1;1;0;No;3;3.00;0;10554;O;47.22;1.49;;0;OK;;2022-10-17;;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/2-dormitorios/amengual/745?codigo_referido=elkisd;201;Re-acondicionamiento
Arriendo Normal;AMGD211;Gral Amengual 102;Estación Central;Amengual;1;30;Estudio;;;263000.00;60000.00;12;0;50.00;1;1;0;No;3;3.00;0;10564;N;25.95;1.50;;0;OK;;2025-08-04;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/amengual/745?selectedUnit=225413&codigo_referido=elkisd;211;Lista para arrendar
Arriendo Normal;AMGD509;Gral Amengual 102;Estación Central;Amengual;1;30;1D1B;;;295000.00;71000.00;12;0;50.00;1;1;0;No;3;3.00;0;10603;P;31.92;1.55;Edificio Multifamily;0;OK;;1995-02-01;Enviado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/1-dormitorio/amengual/745?codigo_referido=elkisd;509;Re-acondicionamiento
Arriendo Normal;AMGD705;Gral Amengual 102;Estación Central;Amengual;1;30;2D1B (3C);;;350000.00;90000.00;12;0;50.00;1;1;0;No;3;3.00;0;10627;P;40.33;2.64;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/2-dormitorios/amengual/745?codigo_referido=elkisd;705;Re-acondicionamiento
Arriendo Normal;AMGD712;Gral Amengual 102;Estación Central;Amengual;1;30;Estudio;;;261000.00;60000.00;12;0;50.00;1;1;0;No;3;3.00;0;10634;N;25.95;1.50;;0;OK;SG;2022-12-16;Enviado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/amengual/745?codigo_referido=elkisd;712;Re-acondicionamiento
Arriendo Normal;AMGD901;Gral Amengual 102;Estación Central;Amengual;1;30;2D2B (4C);;;415000.00;104000.00;12;0;50.00;1;1;0;No;3;3.00;0;10651;O;47.27;1.47;;0;OK;;2025-07-08;Ejecutado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/2-dormitorios/amengual/745?selectedUnit=225500&codigo_referido=elkisd;901;Lista para arrendar
Arriendo Normal;AMGD912;Gral Amengual 102;Estación Central;Amengual;1;30;Estudio;;;265000.00;60000.00;12;0;50.00;1;1;0;No;3;3.00;0;10662;N;25.95;1.50;;0;OK;;;Enviado;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/estudio/amengual/745?codigo_referido=elkisd;912;Re-acondicionamiento
Arriendo Normal;AMGD1010;Gral Amengual 102;Estación Central;Amengual;1;30;2D2B (4C);;;415000.00;111000.00;12;0;50.00;1;1;0;No;3;3.00;0;10674;NP;50.07;2.84;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/estacion-central/2-dormitorios/amengual/745?codigo_referido=elkisd;1010;Re-acondicionamiento
